SKU,ytd_avg_per_mo,On_Hand,Jan,Feb,Mar,Apr,May,hist_avg_per_mo,avg_2025,sell_rate,daily_rate,on_hand,days_remaining,urgency,suggested_order_qty,est_stockout_days
NR1048FC-05-AW Avery,12.8,,11,14,5,20.0,14.0,,,12.8,0.4204993429697766,0.0,0.0,CRITICAL,38,0.0
NR1048FC-06-AW Avery,38.0,,19,43,42,49.0,37.0,,,38.0,1.2483574244415243,0.0,0.0,CRITICAL,114,0.0
NR107162-FUN-OA  Backless Universal,37.8,,10,13,77,30.0,59.0,,,37.8,1.2417871222076213,0.0,0.0,CRITICAL,113,0.0
NR107161-FUN-GR  Backless Universal,11.6,,7,6,11,7.0,27.0,,,11.6,0.38107752956636004,0.0,0.0,CRITICAL,35,0.0
NR107181/182  Backless Universal,74.4,,77,73,119,39.0,64.0,,,74.4,2.4441524310118266,0.0,0.0,CRITICAL,223,0.0
NR107183/184  Backless Universal,76.2,,63,107,106,33.0,72.0,,,76.2,2.5032851511169514,0.0,0.0,CRITICAL,229,0.0
NR107  Black Backless Universal,6.4,,0,0,0,10.0,22.0,,,6.4,0.2102496714848883,0.0,0.0,CRITICAL,19,0.0
NR107 Caramel Backless Universal,0.0,,0,0,0,,,,,0.0,0.0,0.0,inf,NO_MOVEMENT,0,
NR326708-MMT-AS,11.0,,12,11,12,10.0,10.0,36.75,6.666666666666667,6.666666666666667,0.21901007446342532,0.0,0.0,CRITICAL,20,0.0
NR326708-MMT-BZ,12.2,,45,14,2,0.0,0.0,63.7,13.75,13.75,0.4517082785808147,0.0,0.0,CRITICAL,41,0.0
NR326708-MMT-BLK,25.2,,8,11,33,33.0,41.0,2.75,4.75,4.75,0.15604467805519054,0.0,0.0,CRITICAL,14,0.0
NR1105FB-01BZ  Mina,18.8,,18,15,53,8.0,0.0,40.08333333333333,33.75,33.75,1.1087385019710907,0.0,0.0,CRITICAL,101,0.0
NR1005FC-02BZ  Mina,72.2,,59,100,64,85.0,53.0,,,72.2,2.371879106438896,0.0,0.0,CRITICAL,217,0.0
NR1108PU-02MH  Manchester,17.0,,18,17,16,20.0,14.0,,,17.0,0.5584756898817346,0.0,0.0,CRITICAL,51,0.0
NR1108FU-01AW  Manchester,6.4,,7,7,13,0.0,5.0,22.625,26.25,26.25,0.8623521681997371,0.0,0.0,CRITICAL,79,0.0
NR1101PB-01AW  Ellis,2.6,,8,0,0,5.0,0.0,2.916666666666667,3.5,3.5,0.11498028909329829,0.0,0.0,CRITICAL,10,0.0
NR1101PC-02AW  Ellis,6.6,,10,14,0,5.0,4.0,11.25,12.75,12.75,0.4188567674113009,0.0,0.0,CRITICAL,38,0.0
NR111801-FUN-AW  Emily,20.8,,30,22,29,14.0,9.0,14.041666666666668,18.916666666666668,18.916666666666668,0.6214410862899693,0.0,0.0,CRITICAL,57,0.0
NR111802-FUN-GR  Emily,11.2,,26,10,7,10.0,3.0,,,11.2,0.36793692509855447,0.0,0.0,CRITICAL,34,0.0
NR112701-FUN-AW Tiffany,13.2,,18,10,15,2.0,21.0,,,13.2,0.4336399474375821,0.0,0.0,CRITICAL,40,0.0
NR112702-PUN-MH  Tiffany,3.2,,0,4,0,2.0,10.0,6.583333333333334,8.333333333333334,8.333333333333334,0.27376259307928164,0.0,0.0,CRITICAL,25,0.0
NR113101-FUN-AW Charleston,8.8,,6,4,2,10.0,22.0,,,8.8,0.2890932982917214,0.0,0.0,CRITICAL,26,0.0
NR113102-FUN-GR Charleston,4.2,,1,4,2,10.0,4.0,5.25,5.25,5.25,0.17247043363994743,0.0,0.0,CRITICAL,16,0.0
NR105553-FBS-AW  Stella,0.0,,0,0,0,0.0,0.0,,,0.0,0.0,0.0,inf,NO_MOVEMENT,0,
NR105554-FCS-AW  Stella,1.0,,3,2,0,0.0,0.0,,,1.0,0.0328515111695138,0.0,0.0,CRITICAL,3,0.0
NR111701-PBS-AW Pasha,3.8,,0,10,1,2.0,6.0,,,3.8,0.12483574244415242,0.0,0.0,CRITICAL,11,0.0
NR111702-PCS-AW Pasha,3.6,,0,4,3,2.0,9.0,,,3.6,0.11826544021024966,0.0,0.0,CRITICAL,11,0.0
NR111703-PCS-OA  Pasha,2.0,,7,0,3,0.0,0.0,,,2.0,0.0657030223390276,0.0,0.0,CRITICAL,6,0.0
NR111704-PCS-OA  Pasha,4.4,,0,0,0,11.0,11.0,,,4.4,0.1445466491458607,0.0,0.0,CRITICAL,13,0.0
NR105401-GBS-RW Farmhouse,2.6,,4,7,0,0.0,2.0,,,2.6,0.08541392904073587,0.0,0.0,CRITICAL,8,0.0
NR105402-GCS-RW Farmhouse,6.6,,9,0,0,9.0,15.0,,,6.6,0.21681997371879105,0.0,0.0,CRITICAL,20,0.0
NR105403-GBS-GR Farmhouse,1.6,,0,4,0,4.0,0.0,,,1.6,0.052562417871222074,0.0,0.0,CRITICAL,5,0.0
NR105404-GCS-GR Farmhouse,7.8,,7,4,0,14.0,14.0,,,7.8,0.25624178712220763,0.0,0.0,CRITICAL,23,0.0
NR113801-PBS-BR Hampton Bar,1.25,,0,4,0,1.0,,,,1.25,0.04106438896189225,0.0,0.0,CRITICAL,4,0.0
NR113802-PCS-BR Hampton Ctr,4.5,,5,0,8,5.0,,,,4.5,0.1478318002628121,0.0,0.0,CRITICAL,14,0.0
NR113803-PBS-WH Hampton Bar,1.5,,0,5,1,0.0,,,,1.5,0.049277266754270695,0.0,0.0,CRITICAL,4,0.0
NR113804-PCS-WH Hampton CTR,5.75,,7,0,7,9.0,,,,5.75,0.18889618922470433,0.0,0.0,CRITICAL,17,0.0
NR114001-PBS-BR Manhattan Bar,1.4,,0,0,5,0.0,2.0,,,1.4,0.04599211563731931,0.0,0.0,CRITICAL,4,0.0
NR114002-PCS-BR Manhattan CTR,0.5,,0,2,0,0.0,,,,0.5,0.0164257555847569,0.0,0.0,CRITICAL,2,0.0
NR114003-PBS-GR Manhattan Bar,0.8,,0,0,0,0.0,4.0,,,0.8,0.026281208935611037,0.0,0.0,CRITICAL,2,0.0
NR144004-PCS-GR Manhattan CTR,4.6,,0,4,4,0.0,15.0,,,4.6,0.15111695137976344,0.0,0.0,CRITICAL,14,0.0
NR101109-FCS-WO Ellis Oak Bar,1.2,,0,0,0,0.0,6.0,,,1.2,0.03942181340341656,0.0,0.0,CRITICAL,4,0.0
NR101110-FBS-WO Ellis Oak CTR,8.0,,0,0,0,0.0,40.0,,,8.0,0.2628120893561104,0.0,0.0,CRITICAL,24,0.0
NR115305-FBS-BK Leena Bar,0.0,,0,0,0,0.0,,,,0.0,0.0,0.0,inf,NO_MOVEMENT,0,
NR115306-FCS-BK Leena CTR,0.0,,0,0,0,0.0,,,,0.0,0.0,0.0,inf,NO_MOVEMENT,0,
NR115505-FCS-BK Hannah Bar,2.6,,0,0,0,0.0,13.0,,,2.6,0.08541392904073587,0.0,0.0,CRITICAL,8,0.0
NR115506-FBS-BK Hannah CTR,0.0,,0,0,0,0.0,,,,0.0,0.0,0.0,inf,NO_MOVEMENT,0,
NR115605-FCS-BK Archer Bar,0.6,,0,0,0,0.0,3.0,,,0.6,0.01971090670170828,0.0,0.0,CRITICAL,2,0.0
NR115606-FBS-BK Archer CTR,1.2,,0,0,0,0.0,6.0,,,1.2,0.03942181340341656,0.0,0.0,CRITICAL,4,0.0
NR115751-WDC-BK Zia BLK,0.0,,0,0,0,0.0,,,,0.0,0.0,0.0,inf,NO_MOVEMENT,0,
NR115752-WDC-BR Zia BRN,12.6,,0,0,0,0.0,63.0,,,12.6,0.41392904073587383,0.0,0.0,CRITICAL,38,0.0
NR115811-WDC-BK Archer DIN BLK,0.0,,0,0,0,0.0,0.0,,,0.0,0.0,0.0,inf,NO_MOVEMENT,0,
NR115812-WDC-BR Archer DIN BR,0.0,,0,0,0,0.0,0.0,,,0.0,0.0,0.0,inf,NO_MOVEMENT,0,
NR115351-WDC-BK Leena DIN BLK,2.4,,0,0,0,0.0,12.0,,,2.4,0.07884362680683311,0.0,0.0,CRITICAL,7,0.0
